day,hits,views,bandwidth
2022-02-11,11,10,10323
2022-02-12,8,8,51765
2022-02-13,19,14,18756
2022-02-14,10,10,14269
2022-02-15,8,8,21461
2022-02-16,15,13,13632
2022-02-17,45,38,56269
2022-02-18,8,7,5973
2022-02-19,20,9,23253
2022-02-20,10,10,29340
2022-02-21,6,6,4388
2022-02-22,8,8,6223
2022-02-23,17,14,13558
2022-02-24,165,82,116122
2022-02-25,7,7,24673
2022-02-26,53,23,106267
2022-02-27,60,20,170633
2022-02-28,115,49,67719
2022-03-01,161,67,316874
2022-03-02,7,7,12465
2022-03-03,7,7,9335
2022-03-04,12,10,8974
2022-03-05,18,18,13785
2022-03-06,8,8,7143
2022-03-07,89,81,327708
2022-03-08,8,8,7989
2022-03-09,40,33,66451
2022-03-10,44,43,73326
2022-03-11,38,35,82324
2022-03-12,20,20,50938
2022-03-13,103,50,332944
2022-03-14,21,18,64327
2022-03-15,22,22,37137
2022-03-16,14,13,22551
2022-03-17,19,19,40259
2022-03-18,36,18,27682
2022-03-19,6,6,8225
2022-03-20,20,11,9398
2022-03-21,4,4,2545
2022-03-22,13,11,9574
2022-03-23,33,22,251275
2022-03-24,12,11,58674
2022-03-25,20,19,22866
2022-03-26,21,19,18418
2022-03-27,14,13,15516
2022-03-28,16,15,12384
2022-03-29,11,11,7544
2022-03-30,5,3,2870
2022-03-31,17,13,15927
2022-04-01,31,18,265930
2022-04-02,36,19,262344
2022-04-03,10,10,6437
2022-04-04,21,19,36406
2022-04-05,20,18,16557
2022-04-06,21,17,36175
2022-04-07,26,21,39885
2022-04-08,241,55,382704
2022-04-09,52,36,64895
2022-04-10,27,22,37016
2022-04-11,13,13,24384
2022-04-12,28,25,49361
2022-04-13,270,116,173006
2022-04-14,28,28,59264
2022-04-15,10,10,12155
2022-04-16,12,12,15109
2022-04-17,14,14,10340
2022-04-18,25,22,73224
2022-04-19,19,18,32967
2022-04-20,51,23,266086
2022-04-21,17,14,37295
2022-04-22,18,15,13152
2022-04-23,10,9,7495
2022-04-24,8,6,6137
2022-04-25,9,9,6144
2022-04-26,13,8,19555
2022-04-27,11,9,7317
2022-04-28,8,7,11355
2022-04-29,12,11,34263
2022-04-30,2,2,1393
2022-05-01,451,118,2647941
2022-05-02,97,63,475636
2022-05-03,54,54,34446
2022-05-04,76,70,45233
2022-05-05,56,54,67457
2022-05-06,55,50,31570
2022-05-07,58,55,33011
2022-05-08,39,37,22943
2022-05-09,61,58,36559
2022-05-10,61,57,35249
2022-05-11,129,99,74472
2022-05-12,79,74,47392
2022-05-13,75,65,46334
2022-05-14,104,98,234542
2022-05-15,45,42,35571
2022-05-16,101,95,65779
2022-05-17,49,46,39087
2022-05-18,138,77,150569
2022-05-19,99,93,59095
2022-05-20,34,34,19917
2022-05-21,37,36,56392
2022-05-22,56,54,55254
2022-05-23,98,60,61392
2022-05-24,45,41,27260
2022-05-25,55,52,33583
2022-05-26,15,15,17346
2022-05-27,7,7,6947
2022-05-28,29,29,39711
2022-05-29,23,22,25926
2022-05-30,8,8,9714
2022-05-31,16,13,22328
2022-06-01,19,18,27756
2022-06-02,33,18,131697
2022-06-03,13,13,16130
2022-06-04,14,13,18444
2022-06-05,16,16,27825
2022-06-06,96,43,145429
2022-06-07,38,26,38191
2022-06-08,31,29,31309
2022-06-09,51,47,43110
2022-06-10,53,52,33623
2022-06-11,29,29,33622
2022-06-12,45,44,34650
2022-06-13,74,73,63169
2022-06-14,96,92,60804
2022-06-15,71,67,74850
2022-06-16,16,16,14822
2022-06-17,20,20,136001
2022-06-18,14,14,55317
2022-06-19,17,16,16981
2022-06-20,11,10,46980
2022-06-21,17,16,12485
2022-06-22,11,11,33643
2022-06-23,14,14,14971
2022-06-24,21,21,37753
2022-06-25,8,8,24059
2022-06-26,9,9,30667
2022-06-27,15,14,39208
2022-06-28,6,6,10588
2022-06-29,8,8,5626
2022-06-30,14,14,63449
2022-07-01,7,7,4607
2022-07-02,14,14,36535
2022-07-03,121,80,79239
2022-07-04,13,11,10511
2022-07-05,13,13,27588
2022-07-06,10,10,7056
2022-07-07,18,18,91123
2022-07-08,51,51,189681
2022-07-09,15,13,32643
2022-07-10,27,22,40456
2022-07-11,12,12,11410
2022-07-12,8,8,5933
2022-07-13,27,27,39276
2022-07-14,21,19,30381
2022-07-15,25,16,41020
2022-07-16,39,38,249650
2022-07-17,7,6,4525
2022-07-18,45,23,53768
2022-07-19,49,49,271807
2022-07-20,50,49,241309
2022-07-21,43,24,277914
2022-07-22,10,10,17993
2022-07-23,62,46,341499
2022-07-24,34,34,253331
2022-07-25,7,7,78170
2022-07-26,17,16,80962
2022-07-27,17,14,57051
2022-07-28,18,17,41726
2022-07-29,12,10,27340
2022-07-30,16,10,15212
2022-07-31,9,9,42200
2022-08-01,15,15,38199
2022-08-02,40,36,80822
2022-08-03,42,42,152050
2022-08-04,31,29,96415
2022-08-05,14,14,62253
2022-08-06,15,14,72809
2022-08-07,74,46,100677
2022-08-08,14,11,31310
2022-08-09,23,22,56625
2022-08-10,14,14,17146
2022-08-11,16,16,36398
2022-08-12,14,12,9526
2022-08-13,21,21,84766
2022-08-14,41,35,152548
2022-08-15,34,29,64805
2022-08-16,42,27,94278
2022-08-17,19,18,90167
2022-08-18,9,9,27949
2022-08-19,51,46,201939
2022-08-20,17,16,49138
2022-08-21,56,55,715288
2022-08-22,42,38,185772
2022-08-23,34,32,89324
2022-08-24,56,47,87031
2022-08-25,37,33,179862
2022-08-26,23,23,131190
2022-08-27,24,23,116983
2022-08-28,25,25,172322
2022-08-29,23,18,44562
2022-08-30,16,16,75481
2022-08-31,32,30,213623
2022-09-01,20,19,61525
2022-09-02,31,24,35349
2022-09-03,35,34,190883
2022-09-04,26,26,564697
2022-09-05,40,40,466236
2022-09-06,38,37,176877
2022-09-07,16,16,47751
2022-09-08,29,29,218527
2022-09-09,27,26,130832
2022-09-10,21,20,89913
2022-09-11,36,34,67579
2022-09-12,16,16,35771
2022-09-13,30,28,93597
2022-09-14,21,19,31327
2022-09-15,17,17,21459
2022-09-16,42,18,158611
2022-09-17,27,26,158507
2022-09-18,52,30,170073
2022-09-19,19,19,65633
2022-09-20,12,11,33890
2022-09-21,60,58,935464
2022-09-22,7,7,73857
2022-09-23,6,6,8044
2022-09-24,29,29,173542
2022-09-25,19,19,47306
2022-09-26,21,21,55985
2022-09-27,61,57,202506
2022-09-28,26,26,152825
2022-09-29,111,76,503966
2022-09-30,17,17,30926
2022-10-01,20,20,103940
2022-10-02,21,21,82248
2022-10-03,49,20,121985
2022-10-04,36,35,135045
2022-10-05,15,14,33956
2022-10-06,20,20,33202
2022-10-07,18,18,64410
2022-10-08,26,24,158303
2022-10-09,31,30,246650
2022-10-10,39,36,164891
2022-10-11,76,70,185922
2022-10-12,34,33,60726
2022-10-13,35,35,66699
2022-10-14,27,27,59770
2022-10-15,37,37,145443
2022-10-16,30,30,109460
2022-10-17,18,18,48051
2022-10-18,18,18,58546
2022-10-19,24,24,41160
2022-10-20,12,12,13590
2022-10-21,23,23,34243
2022-10-22,56,54,141626
2022-10-23,34,32,72468
2022-10-24,60,51,135391
2022-10-25,48,40,246244
2022-10-26,128,122,359758
2022-10-27,39,38,145442
2022-10-28,18,17,23419
2022-10-29,92,92,390112
2022-10-30,41,34,133424
2022-10-31,15,15,44479
2022-11-01,20,18,64553
2022-11-02,40,40,126851
2022-11-03,17,17,57538
2022-11-04,42,38,125503
2022-11-05,53,53,332580
2022-11-06,56,53,330134
2022-11-07,39,37,253872
2022-11-08,38,37,236343
2022-11-09,30,30,160218
2022-11-10,44,43,253644
2022-11-11,23,23,121961
2022-11-12,43,43,290660
2022-11-13,27,27,67299
2022-11-14,22,21,63748
2022-11-15,14,14,14659
2022-11-16,28,25,55493
2022-11-17,22,22,55743
2022-11-18,28,28,102147
2022-11-19,15,14,23398
2022-11-20,99,99,351241
2022-11-21,50,50,272464
2022-11-22,34,34,115630
2022-11-23,20,20,109406
2022-11-24,24,24,152299
2022-11-25,21,21,62949
2022-11-26,30,30,64712
2022-11-27,57,49,567433
2022-11-28,44,41,253677
2022-11-29,73,65,357233
2022-11-30,61,56,184278
2022-12-01,42,38,189114
2022-12-02,22,22,33611
2022-12-03,69,61,247548
2022-12-04,72,64,215596
2022-12-05,48,38,192823
2022-12-06,20,15,78893
2022-12-07,25,20,172414
2022-12-08,38,30,84829
2022-12-09,49,37,135833
2022-12-10,63,58,382807
2022-12-11,36,32,165684
2022-12-12,24,24,49014
2022-12-13,34,29,166898
2022-12-14,15,14,45407
2022-12-15,15,15,29247
2022-12-16,44,39,191296
2022-12-17,41,31,228812
2022-12-18,18,18,28712
2022-12-19,12,12,27680
2022-12-20,19,19,49546
2022-12-21,14,14,41240
2022-12-22,72,72,971193
2022-12-23,59,48,397931
2022-12-24,28,28,109953
2022-12-25,23,23,156737
2022-12-26,32,32,256621
2022-12-27,33,32,256485
2022-12-28,10,10,21043
2022-12-29,10,10,11202
2022-12-30,33,33,77520
2022-12-31,83,62,548910
2023-01-01,69,47,378203
2023-01-02,56,37,568495
2023-01-03,68,48,425096
2023-01-04,44,33,232930
2023-01-05,20,20,52475
2023-01-06,37,22,195292
2023-01-07,50,37,301418
2023-01-08,25,25,56801
2023-01-09,29,25,188533
2023-01-10,40,40,251316
2023-01-11,14,14,75049
2023-01-12,27,27,114758
2023-01-13,12,12,19046
2023-01-14,21,21,41129
2023-01-15,27,27,40320
2023-01-16,62,62,209451
2023-01-17,26,22,37395
2023-01-18,20,20,29738
2023-01-19,22,22,49111
2023-01-20,11,11,25893
2023-01-21,23,23,29485
2023-01-22,3,3,10137
2023-01-23,43,43,80721
2023-01-24,15,15,23669
2023-01-25,37,37,125761
2023-01-26,31,31,73619
2023-01-27,23,22,49632
2023-01-28,29,29,71559
2023-01-29,23,23,50830
2023-01-30,25,25,123055
2023-01-31,13,12,82688
2023-02-01,20,20,23493
2023-02-02,23,23,52143
2023-02-03,30,29,73496
2023-02-04,51,51,277222
2023-02-05,29,29,90009
2023-02-06,43,43,94066
2023-02-07,51,42,133379
2023-02-08,47,42,124533
2023-02-09,46,46,142517
2023-02-10,42,41,191888
2023-02-11,24,24,53164
2023-02-12,19,19,63426
2023-02-13,23,21,56847
2023-02-14,29,29,174981
2023-02-15,56,45,156847
2023-02-16,179,77,605510
2023-02-17,91,87,875273
2023-02-18,37,37,262915
2023-02-19,30,30,70626
2023-02-20,43,43,232855
2023-02-21,35,35,188383
2023-02-22,38,38,231959
2023-02-23,30,30,98891
2023-02-24,21,21,124923
2023-02-25,34,34,229167
2023-02-26,44,24,355292
2023-02-27,10,10,18210
2023-02-28,21,21,43167
2023-03-01,27,25,181038
2023-03-02,29,25,157442
2023-03-03,35,31,80914
2023-03-04,43,36,132516
2023-03-05,34,32,86222
2023-03-06,31,27,86030
2023-03-07,23,20,49656
2023-03-08,62,48,258600
2023-03-09,59,54,150622
2023-03-10,35,31,141958
2023-03-11,23,21,81492
2023-03-12,29,23,42897
2023-03-13,25,23,60192
2023-03-14,41,28,198345
2023-03-15,59,43,348992
2023-03-16,73,53,367795
2023-03-17,136,114,1399854
2023-03-18,71,62,355191
2023-03-19,63,49,545709
2023-03-20,56,49,586723
2023-03-21,35,31,294100
2023-03-22,42,38,187904
2023-03-23,25,24,257444
2023-03-24,60,59,161375
2023-03-25,13,13,39579
2023-03-26,17,17,248227
2023-03-27,18,18,34272
2023-03-28,54,53,1518298
2023-03-29,23,23,56919
2023-03-30,34,34,850150
2023-03-31,32,31,862018
2023-04-01,23,23,627974
2023-04-02,45,44,664438
2023-04-03,32,31,902154
2023-04-04,28,26,409780
2023-04-05,32,32,268776
2023-04-06,41,41,112877
2023-04-07,124,124,606626
2023-04-08,37,36,542782
2023-04-09,30,30,407664
2023-04-10,43,43,800544
2023-04-11,23,23,34966
2023-04-12,41,40,753051
2023-04-13,59,59,135030
2023-04-14,29,25,265113
2023-04-15,26,26,278318
2023-04-16,33,33,69531
2023-04-17,19,18,43482
2023-04-18,13,13,17473
2023-04-19,33,32,99197
2023-04-20,22,22,84014
2023-04-21,38,38,139759
2023-04-22,35,35,174683
2023-04-23,23,23,52442
2023-04-24,20,20,55957
2023-04-25,16,16,21229
2023-04-26,24,24,58207
2023-04-27,16,15,52061
2023-04-28,12,12,43669
2023-04-29,22,22,35101
2023-04-30,67,65,128238
2023-05-01,39,35,135943
2023-05-02,39,36,97402
2023-05-03,31,31,90705
2023-05-04,18,18,68094
2023-05-05,21,18,74742
2023-05-06,15,15,67228
2023-05-07,17,17,47714
2023-05-08,30,28,144908
2023-05-09,18,18,46326
2023-05-10,10,10,26165
2023-05-11,24,24,80917
2023-05-12,18,18,37280
2023-05-13,18,17,32133
2023-05-14,35,35,128793
2023-05-15,16,15,24389
2023-05-16,11,11,11936
2023-05-17,82,23,404207
2023-05-18,11,11,29066
2023-05-19,229,229,799631
2023-05-20,14,14,22337
2023-05-21,12,12,92968
2023-05-22,6,6,46480
2023-05-23,12,12,48380
2023-05-25,6,6,109916
2023-05-26,39,38,101345
2023-05-27,10,10,27263
2023-05-28,9,9,43508
2023-05-29,15,15,87731
2023-05-30,24,24,671368
2023-05-31,6,6,8567
2023-06-01,7,7,21297
2023-06-02,28,28,285997
2023-06-03,11,11,81710
2023-06-04,12,12,45042
2023-06-05,124,123,460875
2023-06-06,9,9,49488
2023-06-07,17,17,149591
2023-06-08,20,20,67411
2023-06-09,17,17,86952
2023-06-10,15,15,75205
2023-06-11,15,15,21473
2023-06-12,51,51,1502249
2023-06-13,18,18,97586
2023-06-14,34,33,583895
2023-06-15,47,39,233679
2023-06-16,39,35,190470
2023-06-17,25,19,202707
2023-06-18,21,18,84676
2023-06-19,9,7,82213
2023-06-20,23,23,67361
2023-06-21,19,13,25779
2023-06-22,35,24,275569
2023-06-23,117,116,398929
2023-06-24,18,18,30041
2023-06-25,35,32,82360
2023-06-26,41,39,103728
2023-06-27,69,38,391722
2023-06-28,76,53,317193
2023-06-29,61,37,382711
2023-06-30,50,36,376035
